text_id,title_tl,title_ar,au_id_id,genre_id,perm,permbib,pdf,pg_rng,word_len,collection,contrib
123685,Manāhij al-Taḥṣīl wa-Natāʾij Laṭāʾif al-Taʾwīl fī Sharḥ al-Mudawwana wa-Ḥall Mushkilātihā,مناهج التحصيل ونتائج لطائف التأويل في شرح المدونة وحل مشكلاتها,2632,الفقه المالكي,-,":: دار ابن حزم الأولى، ١٤٢٨ هـ - ٢٠٠٧ م",-,4240,662428,MaktabaShamelaAM,A. Musto
124334,Sharḥ al-Taṣrīf li-al-Thumānīnī,شرح التصريف للثمانيني,2666,النحو والصرف,-,"د. إبراهيم بن سليمان البعيمي :: مكتبة الرشد الأولى، ١٤١٩هـ-١٩٩٩م",-,366,33703,MaktabaShamelaAM,A. Musto
124335,Sharḥ al-Qaṣāʾid al-Sabʿ al-Ṭiwāl al-Jāhiliyyāt,شرح القصائد السبع الطوال الجاهليات,1193,الأدب,-,عبد السلام محمد هارون :: دار المعارف [سلسلة ذخائر العرب (٣٥)] الخامسة,-,588,108656,MaktabaShamelaAM,A. Musto
124336,Mukhtaṣar al-Qudūrī,مختصر القدوري,2667,الفقه الحنفي,-,"كامل محمد محمد عويضة :: دار الكتب العلمية الأولى، ١٤١٨ هـ - ١٩٩٧ م",-,239,42595,MaktabaShamelaAM,A. Musto
124338,al-Muqaddima al-Jazūliyya fī al-Naḥw,المقدمة الجزولية في النحو,2668,النحو والصرف,-,د. شعبان عبد الوهاب محمد ::,-,311,15799,MaktabaShamelaAM,A. Musto
124365,Khulāṣat al-Afkār Sharḥ Mukhtaṣar al-Manār,خلاصة الأفكار شرح مختصر المنار,696,أصول الفقه,-,"حافظ ثناء الله الزاهدي :: دار ابن حزم الأولى، ١٤٢٤ هـ - ٢٠٠٣ م",-,140,14466,MaktabaShamelaAM,A. Musto
124754,Ghāyat al-Sūl ilā ʿIlm al-Uṣūl,غاية السول إلى علم الأصول,358,أصول الفقه,-,"بدر بن ناصر بن مشرع السبيعي :: غراس للنشر والتوزيع والإعلان، الكويت الأولى، ١٤٣٣ هـ - ٢٠١٢ م",-,135,7402,MaktabaShamelaAM,A. Musto
124755,Amālī Ibn al-Ḥājib,أمالي ابن الحاجب,1685,النحو والصرف,-,"د. فخر صالح سليمان قدارة :: دار عمار - الأردن، دار الجيل - بيروت",-,864,147440,MaktabaShamelaAM,A. Musto
124910,al-Fatḥ al-Rabbānī li-Tartīb Musnad al-Imām Aḥmad ibn Ḥanbal al-Shaybānī,الفتح الرباني لترتيب مسند الإمام أحمد بن حنبل الشيباني,2824,شروح الحديث,-,:: دار إحياء التراث العربي الثانية,-,7015,909725,MaktabaShamelaAM,A. Musto
130963,Tārīkh ʿUlamāʾ Ahl Miṣr,تاريخ علماء أهل مصر,2925,التراجم والطبقات,-,"أبو عبد الله محمود بن محمد الحداد (١٣٧٤ هـ, ؟ ) :: دار العاصمة، الرياض - المملكة العربية السعودية الأولى، ١٤٠٨ هـ",-,104,13920,MaktabaShamelaAM,A. Musto
131003,al-Durr al-Naqī fī Sharḥ Alfāẓ al-Khiraqī,الدر النقي في شرح ألفاظ الخرقي,358,الغريب والمعاجم,-,"د رضوان مختار بن غربية :: دار المجتمع للنشر والتوزيع، جدة - السعودية الأولى، ١٤١١ هـ - ١٩٩١ م",-,1127,105077,MaktabaShamelaAM,A. Musto
131336,al-Khilāfiyyāt - al-Bayhaqī ed. al-Naḥḥāl,الخلافيات - البيهقي - ت النحال,74,الفقه الشافعي,-,"فريق البحث العلمي بشركة الروضة، بإشراف محمود بن عبد الفتاح أبو شذا النحال :: الروضة للنشر والتوزيع، القاهرة - جمهورية مصر العربية الأولى، ١٤٣٦ هـ - ٢٠١٥ م",-,3423,500188,MaktabaShamelaAM,A. Musto
131521,Sharḥ Sunan Abī Dāwūd li-Ibn Raslān,شرح سنن أبي داود لابن رسلان,1678,شروح الحديث,-,"عدد من الباحثين بدار الفلاح بإشراف خالد الرباط :: دار الفلاح للبحث العلمي وتحقيق التراث، الفيوم - جمهورية مصر العربية الأولى، ١٤٣٧ هـ - ٢٠١٦ م",-,13089,2028925,MaktabaShamelaAM,A. Musto
132374,Īḍāḥ al-Masālik ilā Qawāʿid al-Imām Mālik ed. Bū Ṭāhir,إيضاح المسالك إلى قواعد الإمام مالك - ت بو طاهر,1689,علوم الفقه والقواعد الفقهية,-,دراسة جامعية لنيل دبلوم الدراسات العليا في العلوم الإسلامية من دار الحديث الحسنية بالرباط :: مطبعة فضالة - المحمدية (المغرب),-,437,40860,MaktabaShamelaAM,A. Musto
132403,Ṣifāt Rabb al-ʿĀlamīn - Rasāʾil Jāmiʿiyya - Nāqiṣ,صفات رب العالمين - رسائل جامعية - ناقص,2932,العقيدة,-,"رسائل ماجستير، قسم العقيدة, كلية أصول الدين, جامعة أم القرى بمكة المكرمة ::",-,3493,546237,MaktabaShamelaAM,A. Musto
132415,al-Durar al-Lawāmiʿ fī Sharḥ Jamʿ al-Jawāmiʿ,الدرر اللوامع في شرح جمع الجوامع,2515,أصول الفقه,-,"رسالة دكتوراة بالجامعة الإسلامية بالمدينة المنورة :: الجامعة الإسلامية، المدينة المنورة - المملكة العربية السعودية",-,1864,168814,MaktabaShamelaAM,A. Musto
132416,Safar al-Saʿāda li-al-Fayrūzābādī,سفر السعادة للفيروزابادي,211,السيرة النبوية,-,"أحمد عبد الرحيم السايح، عمر يوسف حمزة :: مركز الكتاب للنشر، القاهرة - جمهورية مصر العربية الأولى، ١٤١٧ هـ - ١٩٩٧ م",-,269,50291,MaktabaShamelaAM,A. Musto
132424,al-Ḥisba fī al-Islām,الحسبة في الإسلام,1328,السياسة الشرعية والقضاء,-,:: الجزيرة للنشر والتنوزيع,-,35,5794,MaktabaShamelaAM,A. Musto
132425,al-Ḥisba li-Ibn al-Mubarrad,الحسبة لابن المبرد,358,السياسة الشرعية والقضاء,-,":: المطبعة الكاثوليكية - بيروت، مكتبة المثنى - بغداد.",-,6,1280,MaktabaShamelaAM,A. Musto
132427,al-Kanz al-Akbar fī al-Amr bi-al-Maʿrūf wa-al-Nahy ʿan al-Munkar - Ibn Qāḍī ʿAjlūn,الكنز الأكبر في الأمر بالمعروف والنهي عن المنكر- ابن قاضي عجلون,3023,السياسة الشرعية والقضاء,-,"السيد عبد الله الحسيني :: دار البشائر الإسلامية للطباعة والنشر والتوزيع، بيروت - لبنان الأولى، ١٤٣٦ - ٢٠١٥",-,54,3039,MaktabaShamelaAM,A. Musto
132428,Tafsīr al-ʿUthaymīn: Luqmān,تفسير العثيمين: لقمان,57,التفسير,-,":: مؤسسة الشيخ محمد بن صالح العثيمين الخيرية، المملكة العربية السعودية الأولى، ١٤٣٦ هـ",-,209,39174,MaktabaShamelaAM,A. Musto
132429,Tafsīr al-ʿUthaymīn: al-Sajda,تفسير العثيمين: السجدة,57,التفسير,-,":: مؤسسة الشيخ محمد بن صالح العثيمين الخيرية، المملكة العربية السعودية الأولى، ١٤٣٦ هـ",-,127,21998,MaktabaShamelaAM,A. Musto
132434,Risālat ʿUmar ibn ʿUthmān ibn al-ʿAbbās al-Jarsīfī fī al-Ḥisba,رسالة عمر بن عثمان بن العباس الجرسيفي في الحسبة,3024,السياسة الشرعية والقضاء,-,ليفي بروفنسال :: مطبعة المعهد العلمي الفرنسي للآثار الشرقية - القاهرة,-,10,1936,MaktabaShamelaAM,A. Musto
132524,al-Mufhim li-mā Ashkala min Talkhīṣ Kitāb Muslim,المفهم لما أشكل من تلخيص كتاب مسلم,2928,شروح الحديث,-,"محيي الدين ديب ميستو, أحمد محمد السيد, يوسف علي بديوي, محمود إبراهيم بزال :: (دار ابن كثير، دمشق - بيروت)، (دار الكلم الطيب، دمشق - بيروت) الأولى، ١٤١٧ هـ - ١٩٩٦ م",-,4436,938429,MaktabaShamelaAM,A. Musto
132527,Tashīl al-Sābila li-Murīd Maʿrifat al-Ḥanābila,تسهيل السابلة لمريد معرفة الحنابلة,2935,التراجم والطبقات,-,"بكر بن عبد الله أبو زيد :: مؤسسة الرسالة للطباعة والنشر والتوزيع، بيروت - لبنان الأولى، ١٤٢٢ هـ - ٢٠٠١ م",-,1920,410709,MaktabaShamelaAM,A. Musto
132530,Fāʾit Tashīl al-Sābila,فائت تسهيل السابلة,145,التراجم والطبقات,-,":: مؤسسة الرسالة للطباعة والنشر والتوزيع، بيروت - لبنان الأولى، ١٤٢٢ هـ - ٢٠٠١ م",-,116,15717,MaktabaShamelaAM,A. Musto
132617,al-Fawāʾid al-Bahiyya fī Tarājim al-Ḥanafiyya - wa-maʿahu al-Taʿlīqāt al-Saniyya,الفوائد البهية في تراجم الحنفية - ومعه التعليقات السنية,1176,التراجم والطبقات,-,"::  الأولى ١٣٢٤ هـ، على نفقة أحمد ناجي الجمالي ومحمد أمين الخانجي الكتبي وأخيه",-,248,84481,MaktabaShamelaAM,A. Musto
132618,al-Ishāʿa li-Ashrāṭ al-Sāʿa,الإشاعة لأشراط الساعة,2936,العقيدة,-,":: دار المنهاج للنشر والتوزيع، جدة - المملكة العربية السعودية الثالثة، ١٤٢٦ هـ - ٢٠٠٥ م",-,356,79896,MaktabaShamelaAM,A. Musto
132620,Ruʾūs al-Masāʾil li-al-Zamakhsharī,رؤوس المسائل للزمخشري,108,الفقه الحنفي,-,"رسالة ماجستير للمحقق، قسم الدراسات العليا الشرعية فرع الفقه والأصول, كلية الشريعة والدراسات الإسلامية, جامعة أم القرى، مكة المكرمة :: دار البشائر الإسلامية للطباعة والنشر والتوزيع، بيروت - لبنان الأولى، ١٤٠٧ هـ - ١٩٨٧ م",-,557,52051,MaktabaShamelaAM,A. Musto
132962,Bidāyat al-Muḥtāj fī Sharḥ al-Minhāj,بداية المحتاج في شرح المنهاج,2942,الفقه الشافعي,-,":: دار المنهاج للنشر والتوزيع، جدة - المملكة العربية السعودية الأولى، ١٤٣٢ هـ - ٢٠١١ م",-,2447,551995,MaktabaShamelaAM,A. Musto
132963,al-Nukat ʿalā Ṣaḥīḥ al-Bukhārī,النكت على صحيح البخاري,202,شروح الحديث,-,"أبو الوليد هشام بن علي السعيدني، أبو تميم نادر مصطفى محمود :: المكتبة الإسلامية للنشر والتوزيع، القاهرة - مصر الأولى، ١٤٢٦ هـ - ٢٠٠٥ م",-,604,116979,MaktabaShamelaAM,A. Musto
132964,al-Tajrīd ʿalā al-Tanqīḥ,التجريد على التنقيح,34,شروح الحديث,-,"أبو الوليد هشام بن علي السعيدني، أبو تميم نادر مصطفى محمود :: المكتبة الإسلامية للنشر والتوزيع، القاهرة - مصر الأولى، ١٤٢٦ هـ - ٢٠٠٥ م",-,84,9296,MaktabaShamelaAM,A. Musto
132965,Durrat al-Ḥijāl fī Asmāʾ al-Rijāl,درة الحجال فى أسماء الرجال,2944,التراجم والطبقات,-,"الدكتور محمد الأحمدى أبو النور :: دار التراث (القاهرة) - المكتبة العتيقة (تونس) الأولى، ١٣٩١ هـ - ١٩٧١ م",-,1033,113378,MaktabaShamelaAM,A. Musto
132971,al-Istighnaʾ fī Maʿrifat al-Mashhūrīn min Ḥamalat al-ʿIlm bi-al-Kunā,الاستغناء في معرفة المشهورين من حملة العلم بالكنى,76,التراجم والطبقات,-,"رسالة دكتوراه في الشريعة الإسلامية بجامعة أم القرى بمكة المكرمة. :: دار ابن تيمية للنشر والتوزيع والإعلام، الرياض - المملكة العربية السعودية الأولى، ١٤٠٥ هـ - ١٩٨٥ م",-,1629,100160,MaktabaShamelaAM,A. Musto
132972,Ṣifat al-Muftī wa-al-Mustaftī ed. Abū Janna,صفة المفتي والمستفتي - ت أبي جنة,1702,الفقه الحنبلي,-,"أبو جنة الحنبلي مصطفى بن محمد صلاح الدين بن منسي القباني :: دار الصميعي للنشر والتوزيع، الرياض - المملكة العربية السعودية الأولى، ١٤٣٦ هـ - ٢٠١٥ م",-,376,32111,MaktabaShamelaAM,A. Musto
132973,al-Buḥūr al-Zākhira fī ʿUlūm al-Ākhira,البحور الزاخرة في علوم الآخرة,656,الرقائق والآداب والأذكار,-,"عبد العزيز أحمد بن محمد بن حمود المشيقح :: دار العاصمة للنشر والتوزيع، الرياض - المملكة العربية السعودية الأولى، ١٤٣٠ هـ - ٢٠٠٩ م",-,1618,254707,MaktabaShamelaAM,A. Musto
132974,Irshād al-Sālik ilā Afʿāl al-Manāsik,إرشاد السالك إلى أفعال المناسك,623,الفقه المالكي,-,"أطروحة دكتوراة في الفقه المقارن في المعهد العالي للقضاء بالرياض, جامعة الإِمام محمد بن سعود :: مكتبة العبيكان، الرياض - المملكة العربية السعودية الأولى، ١٤٢٣ هـ - ٢٠٠٢ م",-,873,78576,MaktabaShamelaAM,A. Musto
133350,Sharḥ Tuḥfat Ahl al-Ṭalab fī Tajrīd Uṣūl Qawāʿid Ibn Rajab,شرح تحفة أهل الطلب في تجريد أصول قواعد ابن رجب,611,علوم الفقه والقواعد الفقهية,-,":: دار كنوز إشبيليا للنشر والتوزيع، الرياض - المملكة العربية السعودية الثانية، ١٤٣١ هـ - ٢٠١٠ م",-,534,76964,MaktabaShamelaAM,A. Musto
133357,Aḥkām al-Qurʾān li-Ibn al-Faras,أحكام القرآن لابن الفرس,2947,علوم القرآن وأصول التفسير,-,"صلاح الدين بو عفيف :: دار ابن حزم للطباعة والنشر والتوزيع، بيروت - لبنان الأولى، ١٤٢٧ هـ - ٢٠٠٦ م",-,1576,305297,MaktabaShamelaAM,A. Musto
133358,al-Musāʿid ʿalā Tashīl al-Fawāʾid,المساعد على تسهيل الفوائد,350,النحو والصرف,-,"د. محمد كامل بركات :: جامعة أم القرى (دار الفكر، دمشق - دار المدني، جدة) الأولى، (١٤٠٠ - ١٤٠٥ هـ)",-,2181,294712,MaktabaShamelaAM,A. Musto
133359,al-Naẓar al-Fasīḥ ʿinda Maḍāyiq al-Anẓār fī al-Jāmiʿ al-Ṣaḥīḥ,النظر الفسيح عند مضائق الأنظار في الجامع الصحيح,77,شروح الحديث,-,":: دار سحنون للنشر والتوزيع - دار السلام للطباعة والنشر الأولى، ١٤٢٨ هـ - ٢٠٠٧ م",-,280,66084,MaktabaShamelaAM,A. Musto
133360,Īḍāḥ al-Masālik ilā Qawāʿid al-Imām Mālik ed. al-Ghiryānī,إيضاح المسالك إلى قواعد الإمام مالك - ت الغرياني,1689,علوم الفقه والقواعد الفقهية,-,"الصادق بن عبد الرحمن الغرياني :: دار ابن حزم للطباعة والنشر والتوزيع، بيروت - لبنان الأولى، ١٤٢٧ هـ - ٢٠٠٦ م",-,128,19780,MaktabaShamelaAM,A. Musto
133362,Badhl al-Naẓar fī al-Uṣūl,بذل النظر في الأصول,2948,أصول الفقه,-,"الدكتور محمد زكي عبد البر :: مكتبة التراث - القاهرة الأولى، ١٤١٢ هـ - ١٩٩٢ م",-,696,117940,MaktabaShamelaAM,A. Musto
133363,"Naqd ""Nuṣūṣ Ḥadīthiyya fī al-Thaqāfa al-ʿĀmma""",نقد «نصوص حديثية في الثقافة العامة»,414,التخريج والأطراف,-,:: مطبعة الترقي - دمشق,-,57,11439,MaktabaShamelaAM,A. Musto
133364,Faṣl fī Tazkiyat al-Nafs,فصل في تزكية النفس,54,الرقائق والآداب والأذكار,-,":: مكتبة النهج الواضح - الكويت الأولى، ١٤٣٩ هـ - ٢٠١٨ م",-,60,7274,MaktabaShamelaAM,A. Musto
133365,"Kashf al-Niqāb ʿammā fī ""Kalimāt"" Abī Ghudda min al-Abāṭīl wa-al-Iftirāʾāt",كشف النقاب عما في «كلمات» أبي غدة من الأباطيل والافتراءات,414,الفرق والردود,-,"::  الثانية، ١٣٩٨ هـ - ١٩٧٨ م",-,109,21813,MaktabaShamelaAM,A. Musto
133366,al-Ṣaḥīḥ al-Musnad mimmā Laysa fī al-Ṣaḥīḥayn,الصحيح المسند مما ليس في الصحيحين,1224,كتب السنة,-,":: دار الآثار - صنعاء، اليمن الرابعة، ١٤٢٨ هـ - ٢٠٠٧ م",-,1687,232512,MaktabaShamelaAM,A. Musto
133367,al-Nāsikh wa-al-Mansūkh - Ibn al-ʿArabī,الناسخ والمنسوخ - ابن العربي,22,علوم القرآن وأصول التفسير,-,"رسالة دكتوراة للمحقق :: مكتبة الثقافة الدينية الأولى، ١٤١٣ هـ - ١٩٩٢ م",-,413,77197,MaktabaShamelaAM,A. Musto
133368,Taḥqīqāt wa-Anẓār fī al-Qurʾān wa-al-Sunna,تحقيقات وأنظار في القرآن والسنة,77,الفقه العام,-,":: (دار سحنون للنشر والتوزيع، تونس)، (دار السلام للطباعة والنشر والتوزيع والترجمة، القاهرة - مصر) الثانية، ١٤٢٩ هـ - ٢٠٠٨ م",-,172,51008,MaktabaShamelaAM,A. Musto
133369,Tawḍīḥ al-Aḥkām Sharḥ Tuḥfat al-Ḥukkām,توضيح الأحكام شرح تحفة الحكام,2949,الفقه المالكي,-,":: المطبعة التونسية الأولى، ١٣٣٩ هـ",-,760,218257,MaktabaShamelaAM,A. Musto
133377,Sharḥ al-Arbaʿīn al-Nawawiyya li-al-Munāwī ḥ 29-35,شرح الأربعين النووية للمناوي حـ 29 - 35,423,شروح الحديث,-,::,-,257,35092,MaktabaShamelaAM,A. Musto
133397,al-Jāmiʿ fī al-Jarḥ wa-al-Taʿdīl,الجامع في الجرح والتعديل,208,التراجم والطبقات,-,":: عالم الكتب، بيروت - لبنان الأولى، ١٤١٢ هـ - ١٩٩٢ م",-,1444,264593,MaktabaShamelaAM,A. Musto
133411,Sharḥ al-ʿAḍud ʿalā Mukhtaṣar al-Muntahā al-Uṣūlī wa-maʿahu Ḥāshiyat al-Saʿd wa-al-Jurjānī,شرح العضد على مختصر المنتهى الأصولي ومعه حاشية السعد والجرجاني,1152,أصول الفقه,-,"محمد حسن محمد حسن إسماعيل :: دار الكتب العلمية، بيروت - لبنان الأولى، ١٤٢٤ هـ - ٢٠٠٤ م",-,2046,591768,MaktabaShamelaAM,A. Musto
